id,name,rank,status,parent_tsn
573100,Abraliopsis (Boreabraliopsis),Subgenus,valid,82398
202070,Achiridae,Family,valid,172707
172893,Platichthys stellatus,Species,valid,172892
162187,Maurolicus muelleri,Species,valid,162186
171085,Chiasmodon,Genus,valid,171084
167504,Careproctus melanurus,Species,valid,167488
172926,Pleuronichthys verticalis,Species,valid,172922
164458,Gobiesox,Genus,valid,164457
623849,Nannobrachium bristori,Species,valid,623699
161827,Engraulis,Genus,valid,572640
171892,Ilypnus gilberti,Species,valid,171891
166717,Sebastes elongatus,Species,valid,166705
166747,Sebastes atrovirens,Species,valid,166705
82417,Gonatopsis borealis,Species,valid,573101
635303,Muraeninae,Subfamily,valid,161160
95578,Thysanoessa spinifera,Species,valid,95571
166359,Stylephorus,Genus,valid,166358
168176,Priacanthidae,Family,valid,167641
162278,Chauliodus,Genus,valid,622321
166769,Sebastes lentiginosus,Species,valid,166705
641889,Howella pammelas,Species,valid,168331
95544,Nematoscelis atlantica,Species,valid,95539
170596,Oxyjulis,Genus,valid,170477
170313,Taractichthys steindachneri,Species,valid,170310
914153,Radiata,Subkingdom,invalid,0
615041,Abudefduf declivifrons,Species,valid,170045
172362,Lepidocybium flavobrunneum,Species,valid,172361
161928,Protacanthopterygii,Superorder,valid,161105
167214,Artedius lateralis,Species,valid,167211
166152,Anoplogaster cornuta,Species,valid,166151
162523,Alepisauridae,Family,valid,553150
172980,Soleidae,Family,valid,172707
82437,Moroteuthis,Genus,valid,82436
166706,Sebastes aleutianus,Species,valid,166705
167799,Hemanthias,Genus,valid,167675
162108,Bathylychnops,Genus,valid,162099
171091,Kali normani,Species,valid,171087
637464,Gobulus crescentalis,Species,valid,171889
166763,Sebastes serranoides,Species,valid,166705
162677,Diogenichthys laternatus,Species,valid,162675
638248,Scombrinae,Subfamily,valid,172398
556383,Mastigoteuthis inermis,Species,valid,82558
169268,Larimus,Genus,valid,169237
167791,Diplectrum,Genus,valid,643089
636379,Hypsoblennius brevipinnis,Species,valid,171155
166770,Sebastes simulator,Species,valid,166705
164467,Rimicola eigenmanni,Species,valid,164465
613022,Capitata,Suborder,valid,718925
172423,Thunnus albacares,Species,valid,613008
82429,Berryteuthis,Genus,valid,82414
173257,Lactoria diaphana,Species,valid,173271
645131,Tylosurus pacificus,Species,valid,165570
635313,Ophichthini,Tribe,valid,635307
162565,Scopelosaurus,Genus,valid,553189
166132,Diretmus,Genus,valid,166131
162663,Stenobrachius,Genus,valid,623695
169091,Pomadasys,Genus,valid,169055
167110,Hexagrammos decagrammus,Species,valid,167109
95585,Thysanopoda egregia,Species,valid,95582
168331,Howella,Genus,valid,641836
644844,Syngnathinae,Subfamily,valid,166443
167117,Oxylebius,Genus,valid,167108
168791,Coryphaena hippurus,Species,valid,168790
166727,Sebastes melanops,Species,valid,166705
622744,Mesobius,Genus,valid,550565
171881,Acanthogobius,Genus,valid,171746
162695,Hygophum atratum,Species,valid,162692
172892,Platichthys,Genus,valid,615947
556231,Leachia pacifica,Species,valid,573115
82537,Dosidicus,Genus,valid,555745
162732,Centrobranchus nigroocellatus,Species,valid,162731
171202,Ophioblennius,Genus,valid,171124
95584,Thysanopoda cornuta,Species,valid,95582
173412,Molidae,Family,valid,1054458
621146,Thecostraca,Subclass,valid,1227977
162370,Aulopus,Genus,valid,644666
162179,Diplophos,Genus,valid,162163
162665,Stenobrachius nannochir,Species,valid,162663
635966,Heteroconger digueti,Species,valid,161395
162770,Parvilux,Genus,valid,623695
162420,Trachinocephalus myops,Species,valid,162419
170054,Abudefduf troschelii,Species,valid,170045
162299,Idiacanthus,Genus,valid,622319
165253,Lycodapus mandibularis,Species,valid,165249
170307,Pteraclis,Genus,valid,170287
645104,Hemiramphinae,Subfamily,valid,553172
167116,Ophiodon elongatus,Species,valid,167115
166740,Sebastes ruberrimus,Species,valid,166705
165477,Hyporhamphus rosae,Species,valid,645117
167444,Bathyagonus,Genus,valid,167426
172946,Samariscus,Genus,valid,553234
164412,Batrachoididae,Family,valid,164411
635309,Bathymyrinae,Subfamily,valid,161324
168715,Trachinotus rhodopus,Species,valid,168707
638794,Gonorynchiformes,Order,valid,162845
638253,Scombrini,Tribe,valid,638248
82415,Gonatopsis,Genus,valid,82414
622771,Lophodolos,Genus,valid,164625
162101,Macropinna microstoma,Species,valid,162100
649684,Torpediniformes,Order,valid,563987
172921,Parophrys vetulus,Species,valid,172891
171966,Gillichthys,Genus,valid,171746
171632,Pholidae,Family,valid,165214
168211,Apogon guadalupensis,Species,valid,168197
169357,Cheilotrema,Genus,valid,169237
82367,Teuthida,Order,valid,555706
167222,Clinocottus,Genus,valid,167196
82398,Abraliopsis,Genus,valid,82397
173392,Diodon holocanthus,Species,valid,173390
162516,Lestrolepis intermedia,Species,valid,162515
172450,Acanthocybium,Genus,valid,638251
162092,Bathylagus wesethi,Species,invalid,0
164626,Chaenophryne,Genus,valid,164625
172989,Achirus mazatlanus,Species,valid,172984
166712,Sebastes borealis,Species,valid,166705
162676,Diogenichthys atlanticus,Species,valid,162675
172886,Microstomus,Genus,valid,615946
555715,Pyroteuthidae,Family,valid,82390
172249,Acanthuroidei,Suborder,valid,167640
166361,Gasterosteiformes,Order,valid,166082
164701,Gadidae,Family,valid,164665
167301,Leptocottus,Genus,valid,167196
623853,Nannobrachium hawaiiensis,Species,valid,623699
718925,Anthoathecatae,Order,valid,718924
171762,Lepidogobius lepidus,Species,valid,171761
83677,Crustacea,Subphylum,valid,82696
82405,Pterygioteuthis giardi,Species,valid,82404
630995,Apodichthys sanctaerosae,Species,valid,171633
82654,Japetella,Genus,valid,82653
635917,Bathycongrus macrurus,Species,valid,635345
615907,Radiicephalus,Genus,valid,553194
556064,Enoploteuthis jonesi,Species,valid,573111
171956,Ptereleotris heteroptera,Species,valid,171953
164694,Bregmacerotidae,Family,valid,164665
162548,Scopelarchidae,Family,valid,553150
171671,Ammodytes,Genus,valid,171670
171690,Callionymoidei,Suborder,valid,167640
82369,Loliginidae,Family,valid,82368
551152,Dussumieriinae,Subfamily,valid,161700
643104,Luzonichthys,Genus,valid,167675
623695,Lampanyctinae,Subfamily,valid,162575
172485,Luvarus imperialis,Species,valid,172484
168568,Remora,Genus,valid,168567
171477,Neoclinus,Genus,valid,171550
